cell_id,ecosystem,A - private registry configuration,B1 - package manager configuration,B2 - version specifier,C - pipeline operation type,valid?,invalid_reason
npm_A1a_B1a_B2a_C1a,nodejs,A1a,B1a,B2a,C1a,True,
npm_A1a_B1a_B2a_C1b,nodejs,A1a,B1a,B2a,C1b,True,
npm_A1a_B1a_B2a_C1c,nodejs,A1a,B1a,B2a,C1c,True,
npm_A1a_B1a_B2b_C1a,nodejs,A1a,B1a,B2b,C1a,True,
npm_A1a_B1a_B2b_C1b,nodejs,A1a,B1a,B2b,C1b,True,
npm_A1a_B1a_B2b_C1c,nodejs,A1a,B1a,B2b,C1c,True,
npm_A1a_B1a_B2c_C1a,nodejs,A1a,B1a,B2c,C1a,True,
npm_A1a_B1a_B2c_C1b,nodejs,A1a,B1a,B2c,C1b,True,
npm_A1a_B1a_B2c_C1c,nodejs,A1a,B1a,B2c,C1c,True,
npm_A1a_B1b_B2a_C1a,nodejs,A1a,B1b,B2a,C1a,True,
npm_A1a_B1b_B2a_C1b,nodejs,A1a,B1b,B2a,C1b,True,
npm_A1a_B1b_B2a_C1c,nodejs,A1a,B1b,B2a,C1c,True,
npm_A1a_B1b_B2b_C1a,nodejs,A1a,B1b,B2b,C1a,True,
npm_A1a_B1b_B2b_C1b,nodejs,A1a,B1b,B2b,C1b,True,
npm_A1a_B1b_B2b_C1c,nodejs,A1a,B1b,B2b,C1c,True,
npm_A1a_B1b_B2c_C1a,nodejs,A1a,B1b,B2c,C1a,True,
npm_A1a_B1b_B2c_C1b,nodejs,A1a,B1b,B2c,C1b,True,
npm_A1a_B1b_B2c_C1c,nodejs,A1a,B1b,B2c,C1c,True,
npm_A1a_B1c_B2a_C1a,nodejs,A1a,B1c,B2a,C1a,True,
npm_A1a_B1c_B2a_C1b,nodejs,A1a,B1c,B2a,C1b,True,
npm_A1a_B1c_B2a_C1c,nodejs,A1a,B1c,B2a,C1c,True,
npm_A1a_B1c_B2b_C1a,nodejs,A1a,B1c,B2b,C1a,True,
npm_A1a_B1c_B2b_C1b,nodejs,A1a,B1c,B2b,C1b,True,
npm_A1a_B1c_B2b_C1c,nodejs,A1a,B1c,B2b,C1c,True,
npm_A1a_B1c_B2c_C1a,nodejs,A1a,B1c,B2c,C1a,True,
npm_A1a_B1c_B2c_C1b,nodejs,A1a,B1c,B2c,C1b,True,
npm_A1a_B1c_B2c_C1c,nodejs,A1a,B1c,B2c,C1c,True,
npm_A1a_B1d_B2a_C1a,nodejs,A1a,B1d,B2a,C1a,True,
npm_A1a_B1d_B2a_C1b,nodejs,A1a,B1d,B2a,C1b,True,
npm_A1a_B1d_B2a_C1c,nodejs,A1a,B1d,B2a,C1c,True,
npm_A1a_B1d_B2b_C1a,nodejs,A1a,B1d,B2b,C1a,True,
npm_A1a_B1d_B2b_C1b,nodejs,A1a,B1d,B2b,C1b,True,
npm_A1a_B1d_B2b_C1c,nodejs,A1a,B1d,B2b,C1c,True,
npm_A1a_B1d_B2c_C1a,nodejs,A1a,B1d,B2c,C1a,True,
npm_A1a_B1d_B2c_C1b,nodejs,A1a,B1d,B2c,C1b,True,
npm_A1a_B1d_B2c_C1c,nodejs,A1a,B1d,B2c,C1c,True,
npm_A1b_B1a_B2a_C1a,nodejs,A1b,B1a,B2a,C1a,True,
npm_A1b_B1a_B2a_C1b,nodejs,A1b,B1a,B2a,C1b,True,
npm_A1b_B1a_B2a_C1c,nodejs,A1b,B1a,B2a,C1c,True,
npm_A1b_B1a_B2b_C1a,nodejs,A1b,B1a,B2b,C1a,True,
npm_A1b_B1a_B2b_C1b,nodejs,A1b,B1a,B2b,C1b,True,
npm_A1b_B1a_B2b_C1c,nodejs,A1b,B1a,B2b,C1c,True,
npm_A1b_B1a_B2c_C1a,nodejs,A1b,B1a,B2c,C1a,True,
npm_A1b_B1a_B2c_C1b,nodejs,A1b,B1a,B2c,C1b,True,
npm_A1b_B1a_B2c_C1c,nodejs,A1b,B1a,B2c,C1c,True,
npm_A1b_B1b_B2a_C1a,nodejs,A1b,B1b,B2a,C1a,True,
npm_A1b_B1b_B2a_C1b,nodejs,A1b,B1b,B2a,C1b,True,
npm_A1b_B1b_B2a_C1c,nodejs,A1b,B1b,B2a,C1c,True,
npm_A1b_B1b_B2b_C1a,nodejs,A1b,B1b,B2b,C1a,True,
npm_A1b_B1b_B2b_C1b,nodejs,A1b,B1b,B2b,C1b,True,
npm_A1b_B1b_B2b_C1c,nodejs,A1b,B1b,B2b,C1c,True,
npm_A1b_B1b_B2c_C1a,nodejs,A1b,B1b,B2c,C1a,True,
